Variable_Name,State,Probability
Driver_Skill_2024,Low,0.4444444444444444
Driver_Skill_2024,Good,0.2222222222222222
Driver_Skill_2024,Elite,0.16666666666666666
Driver_Skill_2024,Mid,0.16666666666666666
Team_Legacy_2024,Backmarker,0.5555555555555556
Team_Legacy_2024,Top_Tier,0.3333333333333333
Team_Legacy_2024,Midfield,0.1111111111111111
Reliability_2025,Solid,0.9444444444444444
Reliability_2025,Fragile,0.05555555555555555
Expected_Race_Pace_2025,Out_of_Points,0.5555555555555556
Expected_Race_Pace_2025,P4_P10,0.2777777777777778
Expected_Race_Pace_2025,P1_P3,0.16666666666666666
Championship_Standing_2025,P11_P20,0.5
Championship_Standing_2025,P4_P10,0.3333333333333333
Championship_Standing_2025,P1_P3,0.16666666666666666
